"adoptionYN","weight_kg","neuterYN","sex","positives","negatives","group_akc","grdp","economy","hospital_num","color"
0,6,2,1,0,0,0,34364239.9244645,69701608,16,7
0,20,0,0,0,1,0,35541357.8757259,69701608,36,7
0,22,1,0,1,0,1,25727215.4887455,70346569.34,2,1
1,4,0,0,0,1,5,25949225.1223491,70346569.34,11,5
0,4,0,1,0,0,0,25949225.1223491,70346569.34,11,6
0,5,2,0,1,0,0,33727398.8802008,70346569.34,13,7
1,4,1,0,0,0,5,33727398.8802008,70346569.34,13,7
0,21,0,1,0,1,0,23676944.4997016,63007146.53,7,1
1,1,0,0,1,0,0,32122264.9149852,63007146.53,18,5
1,1,0,0,1,0,0,32122264.9149852,63007146.53,18,5
1,1,0,0,1,0,0,32122264.9149852,63007146.53,18,5
1,1,0,0,1,0,0,32122264.9149852,63007146.53,18,5
1,1,0,0,1,0,0,32122264.9149852,63007146.53,18,7
1,1,0,0,1,0,0,32122264.9149852,63007146.53,18,7
1,1,0,0,1,0,0,32122264.9149852,63007146.53,18,7
1,1,0,0,1,0,0,32122264.9149852,63007146.53,18,7
1,1,0,0,1,0,0,32122264.9149852,63007146.53,18,7
0,30,2,0,0,0,7,19145267.2278191,63007146.53,10,5
0,5,2,1,0,1,0,19145267.2278191,63007146.53,10,7
0,5,2,0,0,1,0,19145267.2278191,63007146.53,10,5
1,4,0,0,0,0,0,33275552.096932,63007146.53,17,0
1,6,0,0,0,0,0,33275552.096932,63007146.53,17,6
0,1,0,0,0,0,0,33275552.096932,63007146.53,17,7
0,1,0,0,0,0,0,33275552.096932,63007146.53,17,7
0,1,0,0,0,0,0,33275552.096932,63007146.53,17,7
0,1,0,0,0,0,0,33275552.096932,63007146.53,17,7
0,2,0,0,0,1,0,33275552.096932,63007146.53,17,1
0,5,0,1,0,0,0,33275552.096932,63007146.53,17,4
0,2,0,0,0,1,0,33275552.096932,63007146.53,17,1
1,2,0,0,0,1,0,33275552.096932,63007146.53,17,7
0,2,0,1,0,1,0,33275552.096932,63007146.53,17,7
0,2,0,0,0,0,0,33275552.096932,63007146.53,17,5
0,2,0,1,0,0,0,33275552.096932,63007146.53,17,5
0,1,0,1,0,0,0,33275552.096932,63007146.53,17,5
0,4,0,0,0,0,0,33275552.096932,63007146.53,17,7
0,3,0,0,0,0,0,33275552.096932,63007146.53,17,5
0,10,0,1,0,0,0,33275552.096932,63007146.53,17,5
1,3,0,1,0,0,5,33275552.096932,63007146.53,17,7
0,10,0,0,0,0,0,33275552.096932,63007146.53,17,7
0,22,0,0,0,0,0,33275552.096932,63007146.53,17,5
1,4,0,1,0,0,0,33275552.096932,63007146.53,17,2
0,9,0,0,0,0,0,33275552.096932,63007146.53,17,5
0,5.2,1,0,0,1,5,22478306.9630981,63007146.53,52,6
1,15,2,0,1,1,0,68559248.4427165,75944547.79,24,7
1,0.8,2,0,1,0,0,68559248.4427165,75944547.79,24,7
1,2,2,1,1,0,5,35543579.51971,75944547.79,5,3
0,5,2,1,1,0,0,29959980.3664921,75944547.79,18,6
0,20,2,1,0,0,8,29959980.3664921,75944547.79,18,5
1,12,2,0,1,0,8,29959980.3664921,75944547.79,18,1
1,25.1,2,0,1,0,5,29959980.3664921,75944547.79,18,5
1,4,0,1,0,0,5,98854600.8547036,75944547.79,24,0
1,1,0,0,0,0,0,98854600.8547036,75944547.79,24,7
1,1,0,1,0,0,0,98854600.8547036,75944547.79,24,2
1,1,0,0,0,0,0,98854600.8547036,75944547.79,24,7
1,1,0,1,0,0,0,98854600.8547036,75944547.79,24,2
1,0.7,0,1,2,2,0,39381922.9526442,69109259.7,95,7
0,8,0,1,0,0,0,82251413.0680534,69109259.7,13,1
0,8,0,1,0,0,0,82251413.0680534,69109259.7,13,1
0,8,0,1,0,0,0,82251413.0680534,69109259.7,13,5
0,3,0,0,0,0,0,82251413.0680534,69109259.7,13,5
0,7.9,2,1,0,1,0,20255871.8152866,69109259.7,4,5
1,7,0,0,1,0,5,33486995.7180437,69109259.7,16,6
1,11,0,0,0,0,1,33486995.7180437,69109259.7,16,5
0,5,2,2,0,1,0,36901324.5734873,65200878.26,6,1
0,1,2,1,0,0,0,36901324.5734873,65200878.26,6,1
0,1,2,0,0,0,0,36901324.5734873,65200878.26,6,1
1,1,2,1,0,0,0,36901324.5734873,65200878.26,6,1
1,1,2,0,0,0,0,36901324.5734873,65200878.26,6,1
1,1,2,0,0,0,0,36901324.5734873,65200878.26,6,7
1,10,2,0,0,0,0,30898270.3970849,65200878.26,4,1
0,10,2,0,0,0,0,30898270.3970849,65200878.26,4,7
0,3,0,0,0,0,0,32816200.1486252,65200878.26,4,6
1,1.5,0,1,0,0,0,24749037.1672151,65200878.26,15,7
1,6,1,0,1,0,6,24749037.1672151,65200878.26,15,1
0,0.6,0,0,0,0,0,24749037.1672151,65200878.26,15,4
0,0.6,0,0,0,0,0,24749037.1672151,65200878.26,15,7
1,4.3,0,0,1,0,0,24749037.1672151,65200878.26,15,5
0,4.3,0,0,1,0,0,24749037.1672151,65200878.26,15,5
1,4.3,0,0,1,0,0,24749037.1672151,65200878.26,15,5
0,3,0,0,1,0,0,31765707.6010859,76346776.59,12,5
1,25.5,0,1,2,0,1,31765707.6010859,76346776.59,12,0
0,5.2,0,0,1,0,0,31765707.6010859,76346776.59,12,7
0,3,0,1,2,0,0,31765707.6010859,76346776.59,12,7
1,2.9,0,1,2,0,0,31765707.6010859,76346776.59,12,7
0,3.5,0,0,1,0,0,31765707.6010859,76346776.59,12,4
0,2.8,0,0,2,0,0,31765707.6010859,76346776.59,12,1
1,7.8,0,1,1,0,7,31765707.6010859,76346776.59,12,6
0,3,0,0,2,0,8,27158848.0316349,76346776.59,32,7
1,8,1,0,1,1,5,27158848.0316349,76346776.59,32,6
0,22,0,0,0,3,0,47894687.1973836,76346776.59,47,7
1,20,0,0,0,2,0,47894687.1973836,76346776.59,47,7
1,4.7,0,1,1,0,0,47894687.1973836,76346776.59,47,5
1,5,0,1,1,0,7,24099390.503555,76346776.59,27,0
0,10,0,1,0,0,0,25814672.5698334,76346776.59,14,5
1,5.3,0,1,0,0,0,38946655.6491715,76346776.59,39,5
1,7,1,0,1,0,5,38946655.6491715,76346776.59,39,6
0,20,0,0,0,0,0,38946655.6491715,76346776.59,39,6
1,25,1,0,0,0,1,38946655.6491715,76346776.59,39,5
0,2.5,0,0,1,0,0,15262551.4601223,76346776.59,50,7
0,2.2,0,1,1,0,0,15262551.4601223,76346776.59,50,7
0,6.5,1,0,0,1,5,15262551.4601223,76346776.59,50,6
0,25,2,0,0,2,0,38946655.6491715,76346776.59,39,7
1,2,0,1,0,0,5,38946655.6491715,76346776.59,39,2
1,2,0,0,0,0,5,38946655.6491715,76346776.59,39,2
1,2,0,1,0,0,2,38946655.6491715,76346776.59,39,5
1,2,0,0,0,0,6,38946655.6491715,76346776.59,39,7
1,2.6,0,0,0,0,0,64114080.1196187,76346776.59,52,7
1,2.6,0,1,0,0,0,64114080.1196187,76346776.59,52,7
1,2.7,0,1,0,0,0,64114080.1196187,76346776.59,52,7
1,2.7,0,0,0,0,0,64114080.1196187,76346776.59,52,7
1,8.3,0,0,0,0,1,64114080.1196187,76346776.59,52,5
1,3.2,0,0,0,0,2,64114080.1196187,76346776.59,52,1
0,15,0,0,0,1,6,64114080.1196187,76346776.59,52,1
1,12,0,0,1,0,7,19942759.8023824,76346776.59,66,6
1,25,2,1,0,0,7,42357301.7333154,76346776.59,109,0
1,7.4,2,1,0,0,0,42357301.7333154,76346776.59,109,6
0,4.2,0,0,0,0,0,89800193.0064607,96001034.46,21,6
1,3.5,0,0,0,0,0,89800193.0064607,96001034.46,21,6
1,20,2,1,0,0,8,37300552.7684342,70070777.38,35,5
1,2.5,1,0,0,0,5,19775173.5837805,68354721.89,31,7
0,2,0,0,0,0,0,19775173.5837805,68354721.89,31,6
0,2,0,1,0,0,0,19775173.5837805,68354721.89,31,6
0,2,0,0,0,0,0,19775173.5837805,68354721.89,31,6
0,2,0,1,0,0,0,19775173.5837805,68354721.89,31,7
0,9,2,1,0,1,0,20227366.2698674,64857342.12,22,5
1,2.4,0,0,0,0,0,20089234.2715131,67098057.91,44,3
0,6,0,0,0,0,0,20089234.2715131,67098057.91,44,7
0,2,0,0,1,0,0,39023868.5823934,67504454.42,14,2
0,5,0,1,1,0,0,39023868.5823934,67504454.42,14,5
0,5,0,1,0,0,0,39023868.5823934,67504454.42,14,4
0,3,0,1,1,0,0,39023868.5823934,67504454.42,14,4
0,3,0,1,1,0,0,39023868.5823934,67504454.42,14,2
1,15,0,1,1,0,0,39023868.5823934,67504454.42,14,1
0,2,0,0,1,0,0,39023868.5823934,67504454.42,14,1
0,2,0,1,1,0,0,39023868.5823934,67504454.42,14,6
0,2,0,1,1,0,0,39023868.5823934,67504454.42,14,1
0,5,0,1,0,0,0,39023868.5823934,67504454.42,14,1
0,5,0,0,0,0,0,39023868.5823934,67504454.42,14,7
0,20,0,0,0,1,0,39023868.5823934,67504454.42,14,5
0,10,0,0,0,1,0,39023868.5823934,67504454.42,14,5
0,3,0,0,1,0,0,39023868.5823934,67504454.42,14,5
0,5,0,0,0,0,0,39023868.5823934,67504454.42,14,5
0,7,0,0,1,0,0,39023868.5823934,67504454.42,14,6
0,5,0,0,1,0,0,39023868.5823934,67504454.42,14,6
0,5,0,0,1,0,0,39023868.5823934,67504454.42,14,5
0,5,0,1,0,0,0,39023868.5823934,67504454.42,14,6
0,7,0,1,1,0,0,39023868.5823934,67504454.42,14,6
1,3,2,1,0,0,0,107663270.348094,67098057.91,10,1
1,3,2,0,2,0,0,33727398.8802008,70346569.34,13,5
1,1.5,0,0,0,1,0,24696835.6391183,63007146.53,29,5
0,1.5,0,1,0,1,0,24696835.6391183,63007146.53,29,5
1,1.5,0,1,0,1,0,24696835.6391183,63007146.53,29,1
0,1.5,0,1,0,1,0,24696835.6391183,63007146.53,29,1
0,20,0,0,0,0,0,24696835.6391183,63007146.53,29,7
0,5,0,0,0,0,0,24696835.6391183,63007146.53,29,4
1,15,0,1,0,0,0,98854600.8547036,75944547.79,24,6
0,2.2,0,0,0,0,0,41183911.7953038,75944547.79,60,7
0,2.2,0,0,0,0,0,41183911.7953038,75944547.79,60,7
1,4.7,1,0,0,0,6,24749037.1672151,65200878.26,15,5
0,4,0,0,0,3,0,29507763.5213485,76346776.59,20,2
1,5.4,0,1,1,0,0,15262551.4601223,76346776.59,50,5
1,5.8,0,0,1,0,0,15262551.4601223,76346776.59,50,5
0,2.6,0,1,1,0,0,15262551.4601223,76346776.59,50,5
0,2.4,0,1,1,0,0,15262551.4601223,76346776.59,50,6
1,18,0,0,2,2,0,15262551.4601223,76346776.59,50,7
0,16,2,1,1,1,8,19942759.8023824,76346776.59,66,7
0,3.1,0,0,0,0,0,89800193.0064607,96001034.46,21,5
0,3.2,0,1,0,0,0,89800193.0064607,96001034.46,21,5
0,14,2,0,0,0,0,37300552.7684342,70070777.38,35,2
0,3,0,1,0,0,0,19775173.5837805,68354721.89,31,7
0,18,2,1,0,1,0,29507763.5213485,76346776.59,20,4
0,2,0,0,0,0,0,41105863.854976,67504454.42,10,6
0,15,0,0,1,0,0,23703623.7924778,67504454.42,33,6
1,4,0,0,0,1,0,35519840.4818639,69701608,8,6
1,25,0,1,0,1,0,35519840.4818639,69701608,8,7
0,8,0,0,0,1,0,43019545.1314854,69701608,10,6
1,25,2,0,1,1,1,23357610.8522124,69701608,8,7
1,0.2,0,1,0,0,0,29544632.6377247,69701608,39,2
0,9,0,1,0,0,0,29544632.6377247,69701608,39,5
0,2,0,0,1,1,0,29544632.6377247,69701608,39,7
0,5.5,0,1,1,1,0,29544632.6377247,69701608,39,6
1,8,0,1,0,0,0,29544632.6377247,69701608,39,7
1,7,0,1,0,0,0,29544632.6377247,69701608,39,7
0,3,0,1,2,0,0,29544632.6377247,69701608,39,2
1,1,0,1,1,0,0,21339113.7064425,69701608,11,4
1,20,2,1,0,0,8,34364239.9244645,69701608,16,0
0,7,0,1,1,0,0,34364239.9244645,69701608,16,7
0,5,0,0,0,1,0,35541357.8757259,69701608,36,6
1,3,0,0,0,0,0,35541357.8757259,69701608,36,7
0,4,2,1,1,0,0,33727398.8802008,70346569.34,13,5
0,4,0,0,0,0,0,24552906.6171923,70346569.34,8,1
1,2.5,0,1,0,0,0,24552906.6171923,70346569.34,8,5
0,2.5,0,0,0,0,0,24552906.6171923,70346569.34,8,7
0,4,0,0,1,0,0,20500554.4233997,70346569.34,10,7
0,4,0,0,1,0,0,20500554.4233997,70346569.34,10,7
0,4,0,1,1,0,0,20500554.4233997,70346569.34,10,7
0,2.16,0,0,0,0,0,21347566.1491206,70346569.34,21,7
0,3,0,0,1,0,0,26222753.5538843,63007146.53,6,7
0,15,0,0,0,0,0,26222753.5538843,63007146.53,6,5
1,4,0,0,0,0,2,22478306.9630981,63007146.53,52,0
1,5.3,0,0,0,0,5,22478306.9630981,63007146.53,52,4
1,4,1,0,0,0,5,22478306.9630981,63007146.53,52,7
0,1,2,1,1,0,0,68559248.4427165,75944547.79,24,6
0,15,0,0,0,0,0,28199635.2372405,75944547.79,13,1
0,6,0,1,0,0,0,28199635.2372405,75944547.79,13,7
0,5,2,1,0,0,0,28199635.2372405,75944547.79,13,6
0,8,0,0,0,0,0,28199635.2372405,75944547.79,13,5
0,7,0,0,0,0,0,28199635.2372405,75944547.79,13,4
0,2,0,1,0,0,0,28199635.2372405,75944547.79,13,5
0,8,0,0,0,0,0,28199635.2372405,75944547.79,13,3
0,2.5,0,0,0,0,0,28199635.2372405,75944547.79,13,2
0,2.5,0,0,0,0,0,28199635.2372405,75944547.79,13,4
0,2.5,0,1,0,0,0,28199635.2372405,75944547.79,13,4
0,2.5,0,0,0,0,0,28199635.2372405,75944547.79,13,5
1,0.44,0,1,1,0,0,102737211.523899,75944547.79,19,2
1,0.48,0,0,1,0,0,102737211.523899,75944547.79,19,6
1,0.46,0,0,1,0,0,102737211.523899,75944547.79,19,6
1,0.42,0,1,1,0,0,102737211.523899,75944547.79,19,7
1,9.5,0,1,1,0,0,102737211.523899,75944547.79,19,7
0,1.2,0,0,0,1,0,102737211.523899,75944547.79,19,7
0,1.4,0,1,1,0,0,102737211.523899,75944547.79,19,6
0,1.6,0,1,1,1,0,102737211.523899,75944547.79,19,0
0,1.6,0,0,1,0,0,102737211.523899,75944547.79,19,7
0,1.56,0,0,1,0,0,102737211.523899,75944547.79,19,6
1,2,0,1,0,0,0,98854600.8547036,75944547.79,24,7
0,4,0,1,0,0,0,41172319.2309928,75944547.79,9,7
1,4,0,0,0,0,6,39381922.9526442,69109259.7,95,5
1,15,0,1,0,0,0,39381922.9526442,69109259.7,95,6
1,2,0,1,0,0,0,43377017.9853907,65200878.26,4,2
0,2,0,1,0,0,0,43377017.9853907,65200878.26,4,5
1,4,0,1,1,0,5,24749037.1672151,65200878.26,15,7
0,9.5,0,1,1,0,0,31765707.6010859,76346776.59,12,7
0,5.1,0,0,1,0,0,31765707.6010859,76346776.59,12,4
0,3.3,0,1,1,0,0,31765707.6010859,76346776.59,12,7
1,2.42,0,1,0,0,0,98519370.9610671,76346776.59,74,6
0,10.57,0,1,1,0,0,98519370.9610671,76346776.59,74,4
0,4.4,0,0,0,0,0,48645251.824538,76346776.59,29,0
1,5.2,1,0,0,0,5,48645251.824538,76346776.59,29,0
1,2.4,2,1,0,0,8,48645251.824538,76346776.59,29,0
0,7,0,0,0,0,0,48645251.824538,76346776.59,29,0
1,4.4,2,1,1,0,0,47894687.1973836,76346776.59,47,7
1,4.9,2,1,1,0,0,47894687.1973836,76346776.59,47,2
1,10,0,0,1,0,1,24099390.503555,76346776.59,27,5
0,2,0,0,0,0,0,38946655.6491715,76346776.59,39,7
0,2.2,0,0,0,0,0,38946655.6491715,76346776.59,39,2
0,4.9,0,1,1,2,0,15262551.4601223,76346776.59,50,7
0,8,0,1,1,0,0,15262551.4601223,76346776.59,50,7
0,7.8,0,1,1,0,0,15262551.4601223,76346776.59,50,7
0,2.9,0,0,1,0,0,15262551.4601223,76346776.59,50,5
0,2.8,0,1,1,0,0,15262551.4601223,76346776.59,50,5
1,3,0,0,1,0,0,15262551.4601223,76346776.59,50,5
0,2.4,0,1,1,0,0,15262551.4601223,76346776.59,50,5
0,2.2,0,1,1,0,0,15262551.4601223,76346776.59,50,5
0,2.4,0,0,1,0,0,15262551.4601223,76346776.59,50,5
0,2.5,0,1,1,0,0,15262551.4601223,76346776.59,50,5
1,0.7,0,1,0,0,5,38946655.6491715,76346776.59,39,7
1,8.5,0,0,1,0,0,64114080.1196187,76346776.59,52,7
1,4.5,0,0,0,0,6,64114080.1196187,76346776.59,52,5
1,6.2,0,0,0,0,3,64114080.1196187,76346776.59,52,5
1,2.2,0,1,1,0,5,64114080.1196187,76346776.59,52,7
1,4.1,0,0,0,0,6,19942759.8023824,76346776.59,66,7
1,1.3,0,1,1,0,5,19942759.8023824,76346776.59,66,7
0,7,0,0,0,0,0,38946655.6491715,76346776.59,39,6
1,6.5,0,0,1,0,2,42357301.7333154,76346776.59,109,5
0,1,2,0,0,0,0,37300552.7684342,70070777.38,35,1
0,3.5,2,1,0,0,0,21798903.3023383,69726813.32,33,7
1,4,0,0,0,0,6,21798903.3023383,69726813.32,33,5
1,0.7,0,1,1,0,5,29928982.0236261,64857342.12,16,3
1,3,2,1,0,0,5,15230659.0681927,64857342.12,43,3
0,3,0,1,0,0,0,20227366.2698674,64857342.12,22,4
0,3,0,1,0,0,0,20227366.2698674,64857342.12,22,4
0,3,0,1,0,0,0,20227366.2698674,64857342.12,22,4
0,3,0,1,0,0,0,20227366.2698674,64857342.12,22,4
1,18,2,1,0,0,6,22364426.6427768,64857342.12,8,0
0,6,0,1,0,0,0,20227366.2698674,64857342.12,22,5
0,3,0,1,1,0,0,39023868.5823934,67504454.42,14,5
0,5,0,1,1,0,0,39023868.5823934,67504454.42,14,5
0,3,0,1,0,1,0,39023868.5823934,67504454.42,14,6
0,3,0,1,1,0,0,39023868.5823934,67504454.42,14,6
0,1,0,1,0,0,0,35852501.4879389,67504454.42,15,7
0,1,0,1,0,0,0,35852501.4879389,67504454.42,15,7
1,2.2,2,1,0,0,8,35481217.2195355,67504454.42,129,0
1,3,1,0,1,0,5,33727398.8802008,70346569.34,13,5
0,5,0,1,0,2,0,24696835.6391183,63007146.53,29,6
0,4,0,1,0,1,0,24696835.6391183,63007146.53,29,1
1,3,0,1,1,1,0,24696835.6391183,63007146.53,29,6
1,3,0,1,1,1,0,24696835.6391183,63007146.53,29,1
0,7,0,1,0,2,0,24696835.6391183,63007146.53,29,5
1,4.5,0,1,0,3,0,24696835.6391183,63007146.53,29,5
1,8,0,1,1,0,0,24696835.6391183,63007146.53,29,6
0,3.4,0,0,1,0,0,102737211.523899,75944547.79,19,6
0,4.7,0,0,1,0,0,102737211.523899,75944547.79,19,2
0,4,2,1,0,0,0,32789403.5765427,65200878.26,3,5
0,6.5,0,0,0,2,0,29507763.5213485,76346776.59,20,7
0,4.3,2,1,0,3,0,29507763.5213485,76346776.59,20,6
0,5.8,2,1,0,1,0,29507763.5213485,76346776.59,20,6
0,4.4,0,0,2,0,0,29507763.5213485,76346776.59,20,6
1,4.3,2,1,2,1,0,29507763.5213485,76346776.59,20,3
0,10.25,0,0,0,0,0,98519370.9610671,76346776.59,74,6
0,5.86,0,0,0,1,0,98519370.9610671,76346776.59,74,5
0,3.95,0,0,0,0,0,98519370.9610671,76346776.59,74,7
0,4.77,0,1,0,0,0,98519370.9610671,76346776.59,74,7
0,3.73,0,1,1,0,5,98519370.9610671,76346776.59,74,5
1,4,2,2,0,1,0,15965527.1274054,76346776.59,14,7
0,15,2,1,0,1,0,15965527.1274054,76346776.59,14,1
0,20,2,1,0,0,0,29507763.5213485,76346776.59,20,6
0,25,0,0,0,1,0,29507763.5213485,76346776.59,20,3
0,2.7,0,1,0,0,0,48645251.824538,76346776.59,29,0
0,2.1,0,1,0,0,0,48645251.824538,76346776.59,29,0
0,2.8,0,0,0,0,0,48645251.824538,76346776.59,29,0
0,2.8,0,0,0,0,0,48645251.824538,76346776.59,29,0
0,2.6,0,1,0,0,0,48645251.824538,76346776.59,29,0
0,4,0,0,0,0,0,48645251.824538,76346776.59,29,7
0,8,0,1,0,0,0,48645251.824538,76346776.59,29,5
0,18,0,1,0,0,8,48645251.824538,76346776.59,29,0
1,25,2,0,0,0,0,19313998.4049644,76346776.59,106,3
0,13,0,1,0,0,0,19313998.4049644,76346776.59,106,5
0,5.2,2,1,0,0,0,29507763.5213485,76346776.59,20,7
0,1,2,1,0,0,5,37300552.7684342,70070777.38,35,7
1,3,2,1,0,0,8,37300552.7684342,70070777.38,35,7
1,6,0,1,0,0,0,37300552.7684342,70070777.38,35,2
0,3.5,2,0,0,0,0,21798903.3023383,69726813.32,33,2
0,7.5,2,1,0,1,8,13911283.4482247,68354721.89,23,5
1,4,0,0,1,0,5,13911283.4482247,68354721.89,23,1
0,8.6,2,1,1,0,0,13911283.4482247,68354721.89,23,5
0,2.2,2,0,0,0,0,13911283.4482247,68354721.89,23,1
1,2.2,2,0,0,0,0,13911283.4482247,68354721.89,23,5
0,15,2,1,0,1,0,13911283.4482247,68354721.89,23,1
0,9,0,0,1,0,0,13911283.4482247,68354721.89,23,6
1,0.5,0,1,2,0,0,122957457.266587,68354721.89,8,7
1,0.5,0,0,2,0,0,122957457.266587,68354721.89,8,7
1,0.6,0,0,2,0,0,122957457.266587,68354721.89,8,7
1,0.6,0,0,2,0,0,122957457.266587,68354721.89,8,7
0,25,0,0,0,0,8,20227366.2698674,64857342.12,22,5
1,3,1,1,0,0,5,15230659.0681927,64857342.12,43,7
0,5.7,0,0,0,0,0,20089234.2715131,67098057.91,44,5
1,3,2,1,0,0,0,107663270.348094,67098057.91,10,7
1,3,2,0,0,1,0,107663270.348094,67098057.91,10,5
0,3,2,0,0,0,0,107663270.348094,67098057.91,10,2
0,3,2,1,0,1,0,107663270.348094,67098057.91,10,5
0,5,2,1,0,0,6,107663270.348094,67098057.91,10,5
0,6,2,0,0,0,4,107663270.348094,67098057.91,10,0
0,6,2,0,0,0,0,107663270.348094,67098057.91,10,4
0,5,2,0,0,0,0,107663270.348094,67098057.91,10,2
0,15,0,0,0,0,0,20089234.2715131,67098057.91,44,6
1,5,0,0,0,1,0,107663270.348094,67098057.91,10,2
1,13,2,1,0,0,0,29507763.5213485,76346776.59,20,1
0,7.2,2,1,2,0,0,29507763.5213485,76346776.59,20,7
0,4.4,2,1,1,4,6,29507763.5213485,76346776.59,20,6
0,3.5,0,1,0,2,0,29507763.5213485,76346776.59,20,5
1,20,0,1,1,0,0,39023868.5823934,67504454.42,14,4
0,3,0,1,1,0,0,39023868.5823934,67504454.42,14,6
