adoptionYN,age,season,neuterYN,sex,disease_cnt,positives,negatives,hair,grdp,economy,hospital_num,color
1,1,4,0,0,0,0,1,1,29507763.5213485,76346776.59,20,6
0,1,4,2,0,0,0,1,1,19145267.2278191,63007146.53,10,4
0,3,4,0,0,1,1,0,1,33275552.096932,63007146.53,17,4
1,1,4,2,0,3,0,0,1,27158848.0316349,76346776.59,32,3
1,2,4,0,1,0,1,2,1,27158848.0316349,76346776.59,32,3
1,3,4,2,2,0,0,0,1,19313998.4049644,76346776.59,106,5
1,3,4,2,1,0,0,0,2,28229829.1741087,76346776.59,107,5
1,3,4,2,1,0,1,1,2,21798903.3023383,69726813.32,33,7
0,6,4,0,0,3,0,1,1,20089234.2715131,67098057.91,44,6
0,2,4,2,1,3,0,2,1,20089234.2715131,67098057.91,44,3
1,1,4,2,0,0,2,2,1,14133034.1141113,94451870.68,47,6
1,1,4,0,1,0,2,2,1,14133034.1141113,94451870.68,47,6
1,1,4,2,1,2,1,0,1,40463263.3199304,69701608,35,2
1,1,4,2,0,0,0,0,1,40463263.3199304,69701608,35,3
1,1,4,2,1,0,0,0,1,40463263.3199304,69701608,35,6
1,1,4,2,0,1,1,0,1,40463263.3199304,69701608,35,4
1,4,4,2,1,0,0,0,1,40463263.3199304,69701608,35,5
1,4,4,2,2,0,0,0,1,37300552.7684342,70070777.38,35,3
1,3,4,2,1,0,0,0,2,37300552.7684342,70070777.38,35,7
1,3,4,0,0,0,0,0,2,122957457.266587,68354721.89,8,0
0,2,4,2,1,0,0,0,1,37300552.7684342,70070777.38,35,0
0,1,4,2,1,0,0,1,1,25330191.1102574,76346776.59,16,0
0,2,4,0,0,4,2,0,1,15262551.4601223,76346776.59,50,5
1,1,4,0,0,5,0,0,1,64114080.1196187,76346776.59,52,0
1,1,4,0,0,5,0,0,1,64114080.1196187,76346776.59,52,0
1,1,4,0,0,5,0,0,1,64114080.1196187,76346776.59,52,0
0,1,4,0,0,5,0,0,1,64114080.1196187,76346776.59,52,0
0,1,4,0,0,5,0,0,1,64114080.1196187,76346776.59,52,0
0,3,4,0,0,4,0,4,1,19942759.8023824,76346776.59,66,4
1,1,4,0,1,0,1,0,1,61579935.7330267,96001034.46,6,0
1,1,4,0,0,0,0,0,1,15230659.0681927,64857342.12,43,5
1,1,4,0,1,2,0,0,1,22364426.6427768,64857342.12,8,0
0,2,4,0,2,1,0,0,1,60867596.7893044,64857342.12,11,2
0,3,4,2,0,3,0,0,1,29338071.861291,66520328.6,88,5
0,1,4,0,0,0,0,0,1,26362984.3820037,65200878.26,28,2
0,2,4,1,0,0,0,0,1,21798903.3023383,69726813.32,33,7
0,4,4,2,1,3,0,0,1,37580147.5532783,68354721.89,36,4
0,1,4,0,1,1,0,1,1,20227366.2698674,64857342.12,22,0
1,1,4,0,0,4,0,2,1,20089234.2715131,67098057.91,44,6
0,6,4,2,0,2,0,0,1,107663270.348094,67098057.91,10,4
0,1,4,2,2,0,0,2,1,107663270.348094,67098057.91,10,4
0,1,4,2,2,0,0,1,1,107663270.348094,67098057.91,10,4
0,6,4,2,1,0,0,1,1,28229829.1741087,76346776.59,107,2
0,3,4,2,2,0,0,2,1,19775173.5837805,68354721.89,31,4
1,2,4,0,1,1,0,1,1,19775173.5837805,68354721.89,31,2
0,1,4,2,2,2,1,1,1,35481217.2195355,67504454.42,129,4
0,1,4,2,2,0,0,1,0,40023583.7731676,67504454.42,12,1
0,2,4,2,0,1,0,0,1,15965527.1274054,76346776.59,14,6
0,4,4,0,0,1,0,2,1,33289321.2798569,76346776.59,108,3
0,1,4,2,0,0,0,0,1,21798903.3023383,69726813.32,33,4
1,1,4,0,0,0,0,0,1,21798903.3023383,69726813.32,33,6
0,1,4,2,0,2,0,1,1,21798903.3023383,69726813.32,33,6
1,2,4,2,1,0,0,0,1,29928982.0236261,64857342.12,16,6
1,2,4,0,1,0,0,0,1,15230659.0681927,64857342.12,43,0
1,4,4,0,1,2,0,1,2,29338071.861291,66520328.6,88,5
0,1,4,2,2,0,0,1,1,107663270.348094,67098057.91,10,4
1,1,4,0,1,0,0,2,1,13911283.4482247,68354721.89,23,6
0,3,4,0,1,6,0,0,1,13911283.4482247,68354721.89,23,0
1,4,4,1,0,0,0,0,1,122957457.266587,68354721.89,8,1
0,1,4,0,1,1,0,1,1,20089234.2715131,67098057.91,44,2
0,1,4,0,2,1,0,1,1,107663270.348094,67098057.91,10,5
0,1,4,0,2,1,0,1,1,107663270.348094,67098057.91,10,4
0,3,4,2,1,0,1,0,1,107663270.348094,67098057.91,10,1
0,1,4,2,2,8,1,1,1,29507763.5213485,76346776.59,20,4
1,1,4,0,0,1,0,0,1,36999839.0572956,69701608,16,7
0,4,4,0,0,6,0,2,1,13911283.4482247,68354721.89,23,5
0,5,4,1,0,3,0,4,0,20089234.2715131,67098057.91,44,1
1,1,4,0,0,1,0,4,1,20089234.2715131,67098057.91,44,3
1,2,4,2,0,1,0,0,1,29959980.3664921,75944547.79,18,4
1,2,4,0,0,0,3,0,1,39381922.9526442,69109259.7,95,5
0,2,4,0,1,4,0,0,0,26490727.5045397,69109259.7,6,6
0,1,4,0,1,1,0,3,0,26490727.5045397,69109259.7,6,5
1,2,4,0,1,0,0,0,0,20789748.7632638,65200878.26,8,2
0,1,4,2,1,0,0,2,1,38946655.6491715,76346776.59,39,4
1,2,4,0,0,3,0,0,1,29928982.0236261,64857342.12,16,4
1,3,4,1,0,0,1,0,2,15230659.0681927,64857342.12,43,7
1,4,4,1,1,0,1,0,2,15230659.0681927,64857342.12,43,0
0,3,4,2,2,5,0,1,1,22364426.6427768,64857342.12,8,0
1,4,4,1,0,2,1,2,1,11434635.8651055,94451870.68,30,3
0,1,4,2,1,0,0,0,1,40463263.3199304,69701608,35,5
1,1,4,2,1,1,1,0,1,40463263.3199304,69701608,35,1
0,3,4,0,2,1,0,1,1,41183911.7953038,75944547.79,60,4
1,2,4,0,1,0,1,0,2,41183911.7953038,75944547.79,60,7
1,1,4,0,1,5,0,2,1,13911283.4482247,68354721.89,23,2
0,2,4,0,0,3,0,1,1,122957457.266587,68354721.89,8,3
1,4,4,2,1,0,0,0,1,20089234.2715131,67098057.91,44,3
0,8,4,0,0,1,0,2,1,29507763.5213485,76346776.59,20,6
1,2,4,0,1,3,2,0,1,39381922.9526442,69109259.7,95,5
1,2,4,0,0,0,0,0,2,24099390.503555,76346776.59,27,7
0,2,4,0,0,3,0,3,1,38946655.6491715,76346776.59,39,5
1,1,4,0,1,0,0,1,1,91142526.6590945,96001034.46,28,3
0,5,4,0,0,1,0,2,1,21798903.3023383,69726813.32,33,4
1,4,4,1,1,0,0,0,2,21798903.3023383,69726813.32,33,0
1,1,4,2,1,0,0,0,1,22364426.6427768,64857342.12,8,6
1,1,4,0,0,3,0,0,1,22364426.6427768,64857342.12,8,4
1,1,4,2,1,0,0,0,1,40463263.3199304,69701608,35,5
1,1,4,2,1,0,0,0,1,40463263.3199304,69701608,35,5
1,1,4,2,0,0,0,0,1,40463263.3199304,69701608,35,5
0,3,4,0,0,3,0,1,1,33323926.5161576,75944547.79,21,5
1,2,4,2,1,0,1,0,1,13911283.4482247,68354721.89,23,0
0,1,4,0,0,4,0,3,1,20227366.2698674,64857342.12,22,6
1,2,4,2,1,0,1,1,1,29507763.5213485,76346776.59,20,4
0,6,4,1,0,6,1,1,1,29507763.5213485,76346776.59,20,2
0,3,4,2,0,0,0,0,2,37300552.7684342,70070777.38,35,1
0,4,4,0,0,5,0,1,1,24458275.9712294,67504454.42,14,0
0,3,4,2,1,2,1,3,1,39381922.9526442,69109259.7,95,0
0,3,4,2,1,2,0,1,1,21798903.3023383,69726813.32,33,6
0,1,4,0,1,0,0,1,1,24749037.1672151,65200878.26,15,0
0,3,4,0,0,3,0,1,1,15262551.4601223,76346776.59,50,5
0,2,4,0,1,0,1,1,1,15262551.4601223,76346776.59,50,0
0,3,4,0,0,2,0,0,1,24458275.9712294,67504454.42,14,5
1,4,4,0,0,0,0,0,1,60572550.4789647,70346569.34,7,6
1,1,4,0,1,2,0,1,1,22478306.9630981,63007146.53,52,3
1,1,4,0,1,0,0,0,1,22478306.9630981,63007146.53,52,4
0,2,4,0,1,1,0,0,1,29959980.3664921,75944547.79,18,0
0,2,4,0,2,0,0,0,1,98854600.8547036,75944547.79,24,2
0,4,4,1,0,1,1,2,0,33289321.2798569,76346776.59,108,6
1,1,4,0,0,1,0,0,1,38946655.6491715,76346776.59,39,3
0,1,4,0,2,1,0,0,1,38946655.6491715,76346776.59,39,3
0,3,4,2,1,2,0,0,1,21798903.3023383,69726813.32,33,4
1,1,4,0,2,3,0,0,1,37580147.5532783,68354721.89,36,5
0,1,4,0,1,3,0,1,1,122957457.266587,68354721.89,8,3
0,1,4,0,1,2,0,2,0,31225309.8064254,67098057.91,18,3
0,1,4,0,0,3,0,0,1,27158848.0316349,76346776.59,32,3
0,1,4,2,2,1,0,0,1,19313998.4049644,76346776.59,106,0
1,2,4,2,2,0,0,0,2,37300552.7684342,70070777.38,35,7
0,4,4,2,1,0,0,0,1,107663270.348094,67098057.91,10,6
0,3,4,2,0,0,0,1,1,31459171.0150635,75944547.79,22,6
0,1,4,0,0,0,0,1,1,29507763.5213485,76346776.59,20,0
1,4,4,2,1,0,0,0,2,28229829.1741087,76346776.59,107,7
0,5,4,2,1,4,0,3,1,20089234.2715131,67098057.91,44,2
0,5,4,2,1,0,0,0,1,107663270.348094,67098057.91,10,6
0,1,4,0,0,5,0,3,0,20089234.2715131,67098057.91,44,2
1,1,4,2,1,0,0,0,1,107663270.348094,67098057.91,10,6
1,2,4,0,1,1,0,0,1,21181487.6225383,68354721.89,9,2
1,1,4,0,1,5,0,0,1,21347566.1491206,70346569.34,21,5
0,2,4,0,0,1,0,0,1,24495237.4652732,63007146.53,13,6
0,1,4,0,1,3,0,1,1,22478306.9630981,63007146.53,52,6
0,3,4,2,2,2,0,0,1,98854600.8547036,75944547.79,24,5
0,2,4,0,0,1,0,1,0,26490727.5045397,69109259.7,6,6
1,2,4,1,0,2,0,0,1,61579935.7330267,96001034.46,6,0
0,1,4,2,1,3,0,2,1,49828500.2950192,68354721.89,4,6
0,1,4,2,2,1,0,1,1,29928982.0236261,64857342.12,16,5
0,4,4,2,1,3,0,1,1,20089234.2715131,67098057.91,44,4
0,1,4,0,2,1,0,0,0,40023583.7731676,67504454.42,12,3
0,1,4,2,2,0,0,0,1,107663270.348094,67098057.91,10,6
1,4,4,0,0,0,1,0,1,35541357.8757259,69701608,36,6
1,3,4,2,1,1,0,0,1,28229829.1741087,76346776.59,107,6
0,2,4,2,1,1,0,0,1,28229829.1741087,76346776.59,107,4
0,3,4,2,1,0,0,1,1,28229829.1741087,76346776.59,107,6
0,1,4,0,0,0,0,1,1,28229829.1741087,76346776.59,107,1
1,2,4,2,2,0,0,0,1,107663270.348094,67098057.91,10,6
0,2,4,2,0,2,0,2,0,107663270.348094,67098057.91,10,5
0,6,4,2,1,4,0,1,1,20089234.2715131,67098057.91,44,5
0,1,4,2,1,1,0,4,0,20089234.2715131,67098057.91,44,3
1,6,4,2,0,1,0,2,2,107663270.348094,67098057.91,10,0
0,1,4,0,0,8,0,2,1,29507763.5213485,76346776.59,20,3
0,8,4,2,1,2,1,1,0,29507763.5213485,76346776.59,20,6
0,1,4,2,1,7,0,3,1,29507763.5213485,76346776.59,20,4
1,4,4,2,2,0,0,0,1,37300552.7684342,70070777.38,35,0
1,1,4,0,2,0,0,1,0,40023583.7731676,67504454.42,12,5
0,2,4,2,0,0,0,0,1,19145267.2278191,63007146.53,10,6
1,1,4,0,0,0,0,0,1,22478306.9630981,63007146.53,52,6
0,2,4,0,0,1,1,2,1,27158848.0316349,76346776.59,32,4
1,1,4,0,1,0,1,0,2,24099390.503555,76346776.59,27,4
0,5,4,0,2,0,0,1,1,38946655.6491715,76346776.59,39,5
0,11,4,2,2,0,0,2,1,38946655.6491715,76346776.59,39,0
1,1,4,0,0,1,1,0,1,19942759.8023824,76346776.59,66,7
1,1,4,2,1,0,0,0,1,42357301.7333154,76346776.59,109,2
1,3,4,2,1,0,1,0,1,91142526.6590945,96001034.46,28,0
0,1,4,2,1,2,0,1,1,21798903.3023383,69726813.32,33,0
1,1,4,2,0,0,0,0,1,21798903.3023383,69726813.32,33,7
1,1,4,2,0,0,0,0,1,21798903.3023383,69726813.32,33,6
1,1,4,2,0,0,0,0,1,21798903.3023383,69726813.32,33,6
1,1,4,0,1,0,1,0,1,60867596.7893044,64857342.12,11,0
0,9,4,2,1,1,0,0,1,29338071.861291,66520328.6,88,7
1,1,4,2,1,1,1,0,1,40463263.3199304,69701608,35,3
1,1,4,0,0,0,0,0,1,29507763.5213485,76346776.59,20,3
1,1,4,2,1,0,0,1,1,29507763.5213485,76346776.59,20,3
1,1,4,2,1,0,0,0,1,29507763.5213485,76346776.59,20,0
0,1,4,2,2,0,0,0,1,37300552.7684342,70070777.38,35,2
0,1,4,0,1,0,0,1,1,20227366.2698674,64857342.12,22,0
0,1,4,2,2,2,0,2,1,107663270.348094,67098057.91,10,4
1,3,4,1,0,0,0,0,0,20089234.2715131,67098057.91,44,1
1,2,4,1,0,0,0,1,1,49984917.0612005,94451870.68,42,0
0,6,4,0,1,0,0,1,2,26362984.3820037,65200878.26,28,6
0,6,4,0,1,2,0,0,1,26362984.3820037,65200878.26,28,0
0,6,4,0,0,1,0,0,0,107663270.348094,67098057.91,10,6
0,7,4,0,0,0,0,1,1,26362984.3820037,65200878.26,28,5
0,1,4,0,0,0,0,0,1,60572550.4789647,70346569.34,7,2
0,1,4,0,1,1,0,0,1,22478306.9630981,63007146.53,52,4
0,1,4,2,0,0,0,0,1,68559248.4427165,75944547.79,24,4
1,2,4,0,0,0,1,0,2,29959980.3664921,75944547.79,18,7
0,2,4,0,0,2,0,0,1,38946655.6491715,76346776.59,39,4
1,4,4,0,2,0,0,0,1,19313998.4049644,76346776.59,106,5
1,1,4,0,1,0,1,2,1,38946655.6491715,76346776.59,39,7
1,1,4,0,0,0,1,1,1,38946655.6491715,76346776.59,39,0
1,1,4,0,0,0,1,1,1,38946655.6491715,76346776.59,39,5
1,1,4,0,1,0,0,1,1,38946655.6491715,76346776.59,39,5
1,1,4,0,1,0,0,1,1,19942759.8023824,76346776.59,66,2
0,1,4,0,1,5,0,2,1,19942759.8023824,76346776.59,66,2
0,1,4,0,1,1,0,0,1,91142526.6590945,96001034.46,28,0
0,4,4,2,2,0,0,1,1,37300552.7684342,70070777.38,35,4
0,2,4,0,0,4,1,2,1,20089234.2715131,67098057.91,44,4
0,6,4,2,0,1,0,0,1,107663270.348094,67098057.91,10,5
0,5,4,0,1,2,0,0,1,26362984.3820037,65200878.26,28,0
0,7,4,0,0,5,0,4,1,29507763.5213485,76346776.59,20,4
0,2,4,0,1,1,2,1,1,15262551.4601223,76346776.59,50,5
0,1,4,0,2,0,0,1,1,37300552.7684342,70070777.38,35,4
0,2,4,2,1,2,0,1,1,21798903.3023383,69726813.32,33,0
0,2,4,0,1,0,0,2,1,13911283.4482247,68354721.89,23,2
1,2,4,0,0,3,0,0,0,29928982.0236261,64857342.12,16,0
0,3,4,0,0,6,0,3,0,20089234.2715131,67098057.91,44,6
1,3,4,2,1,0,2,0,0,29507763.5213485,76346776.59,20,7
0,6,4,0,0,1,0,0,1,19313998.4049644,76346776.59,106,6
0,3,4,0,2,1,0,0,1,41183911.7953038,75944547.79,60,0
1,3,4,1,0,1,1,0,1,29507763.5213485,76346776.59,20,3
0,1,4,0,0,0,1,3,1,51221391.5980468,94451870.68,29,7
0,3,4,2,0,0,0,0,1,19145267.2278191,63007146.53,10,6
1,3,4,0,1,3,0,1,1,39381922.9526442,69109259.7,95,5
1,1,4,0,0,0,2,2,1,39381922.9526442,69109259.7,95,3
0,2,4,0,0,1,0,0,1,37302596.0757604,65200878.26,4,5
1,2,4,2,1,0,0,0,0,48645251.824538,76346776.59,29,0
1,1,4,2,2,0,0,0,1,37300552.7684342,70070777.38,35,6
0,1,4,2,1,0,0,0,1,21798903.3023383,69726813.32,33,0
0,2,4,2,2,0,0,1,1,20227366.2698674,64857342.12,22,0
0,1,4,0,0,8,0,1,1,33323926.5161576,75944547.79,21,6
0,1,4,0,0,8,0,1,1,33323926.5161576,75944547.79,21,6
1,1,4,0,0,8,0,1,1,33323926.5161576,75944547.79,21,6
0,1,4,0,1,8,0,1,1,33323926.5161576,75944547.79,21,0
1,3,4,2,1,0,2,0,1,13911283.4482247,68354721.89,23,2
0,4,4,2,0,0,0,0,1,13911283.4482247,68354721.89,23,3
0,1,4,0,1,4,0,2,1,20089234.2715131,67098057.91,44,3
0,1,4,0,2,0,1,0,1,18856809.858719,94451870.68,46,3
0,1,4,2,1,1,0,3,1,29507763.5213485,76346776.59,20,3
0,2,4,0,0,7,0,3,1,29507763.5213485,76346776.59,20,2
1,4,4,2,0,1,1,2,1,33727398.8802008,70346569.34,13,4
0,1,4,2,0,1,0,4,1,33727398.8802008,70346569.34,13,1
1,1,4,2,1,0,1,0,1,22478306.9630981,63007146.53,52,7
0,1,4,0,0,2,0,1,1,31765707.6010859,76346776.59,12,0
0,2,4,0,1,0,0,1,1,31765707.6010859,76346776.59,12,5
1,2,4,0,1,0,2,0,2,24099390.503555,76346776.59,27,7
1,1,4,0,0,1,0,0,2,38946655.6491715,76346776.59,39,7
1,2,4,0,1,1,0,2,1,19942759.8023824,76346776.59,66,3
0,4,4,0,0,4,0,1,1,19942759.8023824,76346776.59,66,6
1,1,4,0,0,0,0,0,1,60867596.7893044,64857342.12,11,5
1,1,4,0,1,0,3,1,1,14133034.1141113,94451870.68,47,3
0,1,4,0,2,1,0,1,1,20227366.2698674,64857342.12,22,0
1,4,4,2,1,3,0,3,1,29507763.5213485,76346776.59,20,3
0,1,4,0,0,3,0,2,1,22478306.9630981,63007146.53,52,4
0,2,4,2,1,2,1,0,1,21798903.3023383,69726813.32,33,0
0,2,4,2,1,0,0,0,1,21798903.3023383,69726813.32,33,2
1,2,4,0,0,1,0,0,1,13911283.4482247,68354721.89,23,1
0,3,4,0,2,2,0,3,1,41183911.7953038,75944547.79,60,3
1,3,4,0,1,1,0,0,2,29544632.6377247,69701608,39,7
1,2,4,2,1,0,0,0,2,29544632.6377247,69701608,39,7
1,2,4,0,1,1,0,1,1,22478306.9630981,63007146.53,52,0
1,2,4,0,1,2,0,0,0,26490727.5045397,69109259.7,6,0
1,1,4,0,0,1,0,0,1,37302596.0757604,65200878.26,4,5
0,1,4,0,0,1,0,1,1,20789748.7632638,65200878.26,8,5
1,5,4,1,0,1,0,0,1,64114080.1196187,76346776.59,52,0
0,1,4,2,1,3,0,2,1,19942759.8023824,76346776.59,66,3
1,1,4,0,2,2,0,0,1,18856809.858719,94451870.68,46,5
1,1,4,0,0,1,0,0,1,41183911.7953038,75944547.79,60,3
0,1,4,0,1,3,1,2,1,41183911.7953038,75944547.79,60,4
0,4,4,2,1,0,0,2,2,28229829.1741087,76346776.59,107,2
0,3,4,2,1,1,1,0,1,13911283.4482247,68354721.89,23,3
0,1,4,0,0,1,0,1,1,20089234.2715131,67098057.91,44,6
0,2,4,2,1,2,0,1,1,29507763.5213485,76346776.59,20,3
0,1,4,0,0,7,0,4,1,29507763.5213485,76346776.59,20,4
0,3,4,0,0,1,0,1,1,102737211.523899,75944547.79,19,2
0,1,4,0,0,5,0,2,1,29507763.5213485,76346776.59,20,3
0,2,4,2,2,0,0,1,1,37300552.7684342,70070777.38,35,4
0,2,4,2,1,2,0,2,1,20089234.2715131,67098057.91,44,3
1,1,4,0,1,3,0,2,1,20089234.2715131,67098057.91,44,6
0,6,4,2,1,0,0,0,1,107663270.348094,67098057.91,10,6
0,4,4,2,1,3,0,2,1,49984917.0612005,94451870.68,42,5
0,4,4,0,0,5,0,1,1,29507763.5213485,76346776.59,20,6
0,6,4,0,0,3,0,3,1,29507763.5213485,76346776.59,20,6
0,2,4,2,2,0,0,1,1,37300552.7684342,70070777.38,35,0
1,1,4,0,0,0,0,0,1,13911283.4482247,68354721.89,23,2
0,6,4,2,1,1,0,1,1,13911283.4482247,68354721.89,23,2
0,4,4,0,0,6,0,4,0,20089234.2715131,67098057.91,44,1
1,1,4,0,0,0,0,0,1,107663270.348094,67098057.91,10,1
